GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.models,Fulfillment,3,12,0,0,1,5,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.models,ProductReference,0,9,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.models,StoreReference,0,9,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores.events,StoreSyncEvent,0,39,0,0,0,7,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores.events,StoreSyncEvent.Operation,0,15,0,0,0,3,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores.events,LegacyStoreSynchronizer,0,34,1,2,0,10,1,4,0,3
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,ProductReferenceGateway,2,23,1,3,1,4,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,FulfillmentRepository,2,149,1,5,0,26,1,14,0,12
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,StoreReferenceGateway,2,21,1,3,1,4,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,DbFulfillment,0,45,0,0,0,9,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,7,18,2,0,1,7,2,2,1,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,22,0,0,0,8,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,0,25,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,0,26,0,0,0,9,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.warehouses,ActiveWarehouseGateway,0,12,0,2,0,2,0,3,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.events,FulfillmentAuditLogger,0,50,0,0,0,10,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.usecases,RemoveFulfillmentUseCase,0,32,0,2,0,10,0,3,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.usecases,AssociateFulfillmentUseCase,0,62,0,0,0,16,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.usecases,RetrieveFulfillmentUseCase,0,32,0,0,0,9,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.events,FulfillmentChangedEvent.Operation,0,15,0,0,0,3,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.events,FulfillmentChangedEvent,0,21,0,0,0,3,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.exceptions,ExceptionMappers,0,26,0,0,0,6,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.exceptions,ExceptionMappers.ErrorPayload,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.exceptions,ExceptionMappers.ResourceNotFoundExceptionMapper,0,7,0,0,0,2,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.exceptions,ValidationException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.exceptions,ExceptionMappers.ValidationExceptionMapper,0,7,0,0,0,2,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,119,0,10,0,27,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,Product,6,3,0,0,3,1,1,1,1,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,0,163,0,16,0,37,0,17,0,9
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,54,0,0,0,15,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,2,101,2,2,1,16,2,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.validation,WarehouseReplacementValidator,2,63,1,7,0,15,1,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.validation,WarehousePayloadValidator,5,73,2,18,1,14,2,11,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.validation,WarehouseArchiveValidator,12,25,4,4,2,8,4,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.validation,WarehouseCreationValidator,0,127,0,8,0,31,0,13,0,9
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,4,141,1,15,1,35,1,15,0,8
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,Store,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,7,52,0,0,4,14,1,3,1,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseCreationStatusFilter,2,32,1,7,0,7,1,6,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,7,123,2,4,1,29,2,11,0,10
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.validation,FulfillmentReferenceValidator,0,54,0,6,0,16,0,7,0,4
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.validation,FulfillmentConstraintValidator,0,109,1,11,0,30,1,11,0,6
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain.validation,FulfillmentRequestValidator,0,18,3,5,0,5,3,3,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentRequest,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentResponse,0,41,0,0,0,6,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentResource,5,52,1,1,1,14,1,7,0,7
